scene,kind,log_file,n_samples,max_iter,final_L,final_pts_M,final_blk,mean_vis%,max_vis%,min_vis%,peak_alloc_gb,peak_rsv_gb,mean_alloc_gb,mean_rsv_gb,final_it_per_s,mean_it_per_s,duration_s
bicycle,outdoor,0418_1500.log,3000,30000,0.0848,2.21,8,26.3102,59.1,7.9,1.24,1.66,0.8637,1.2142,20.3,29.0668,1404.67
bonsai,indoor,0418_1857.log,3000,30000,0.0228,0.72,8,33.1875,85.0,16.7,2.2,2.45,1.6276,1.8585,14.2,16.6515,2033.24
counter,indoor,0418_1732.log,3000,30000,0.0315,0.55,8,45.9836,89.8,14.2,2.19,3.73,1.8409,2.0836,12.4,16.7363,2268.26
drjohnson,indoor,0418_2015.log,3000,30000,0.0173,1.26,8,16.8504,69.1,1.5,1.39,1.86,0.7538,1.1669,29.6,37.3009,956.24
flowers,outdoor,0418_1525.log,3000,30000,0.1058,1.56,8,29.8881,62.8,13.1,1.11,1.68,0.8188,1.1996,23.8,32.5967,1189.09
garden,outdoor,0418_1545.log,3000,30000,0.038,2.1,8,37.0257,63.5,27.2,1.32,1.89,1.1193,1.4001,16.0,21.5145,1810.84
kitchen,indoor,0418_1811.log,3000,30000,0.0229,0.6,8,57.1438,97.8,37.2,2.22,3.67,2.149,2.4174,10.7,13.1915,2685.75
playroom,indoor,0418_2032.log,3000,30000,0.0141,0.88,8,18.5366,61.3,1.3,1.27,1.68,0.7166,1.1157,31.4,39.1139,895.94
room,indoor,0418_1702.log,3000,30000,0.0212,0.64,8,32.0466,74.4,3.0,2.14,2.72,1.4326,1.716,16.2,21.5776,1723.06
stump,outdoor,0418_1617.log,3000,30000,0.0437,2.43,8,21.2756,68.9,6.4,1.2,1.63,0.7849,1.1746,23.2,32.4702,1221.41
train,outdoor,0418_1933.log,3000,30000,0.0699,0.45,8,62.2784,94.9,27.1,0.83,2.42,0.6845,1.1067,23.6,33.953,1157.43
treehill,outdoor,0418_1638.log,3000,30000,0.0718,1.79,8,28.8504,79.6,9.6,1.27,1.86,0.9395,1.2813,20.3,28.7169,1391.61
truck,outdoor,0418_1953.log,3000,30000,0.0385,1.19,8,39.2575,81.1,25.9,0.74,1.55,0.5744,1.0826,23.0,29.7205,1245.51
