timestamp,iter,loss,vis_M,pts_M,vis_pct,blk,alloc_gb,rsv_gb,it_s,elapsed
"0323,13:19",10,0.2568,0.02,0.05,35.7,1,0.15,0.56,53.7,
"0323,13:19",20,0.4014,0.01,0.05,11.1,1,0.15,0.65,74.2,
"0323,13:19",30,0.2263,0.02,0.05,43.0,1,0.16,0.85,83.5,
"0323,13:19",40,0.3115,0.02,0.05,42.9,1,0.16,0.85,89.7,
"0323,13:19",50,0.2126,0.02,0.05,44.0,1,0.16,0.85,93.3,
"0323,13:19",60,0.2868,0.03,0.05,55.7,1,0.16,0.85,93.3,
"0323,13:19",70,0.256,0.0,0.05,7.9,1,0.15,0.85,95.4,
"0323,13:19",80,0.335,0.02,0.05,42.7,1,0.16,0.85,97.8,
"0323,13:19",90,0.2756,0.03,0.05,50.0,1,0.16,0.96,99.2,
"0323,13:19",100,0.3296,0.02,0.05,30.0,1,0.15,0.96,100.7,
"0323,13:19",110,0.212,0.03,0.05,51.5,1,0.16,0.96,101.7,
"0323,13:19",120,0.2341,0.03,0.05,48.4,1,0.16,0.96,102.4,
"0323,13:19",130,0.2925,0.03,0.05,55.6,1,0.16,0.96,103.2,
"0323,13:19",140,0.2247,0.02,0.05,40.3,1,0.15,0.96,103.9,
"0323,13:19",150,0.2162,0.02,0.05,32.7,1,0.15,0.96,104.5,
"0323,13:19",160,0.2373,0.02,0.05,40.4,1,0.16,0.96,104.9,
"0323,13:19",170,0.189,0.03,0.05,47.7,1,0.16,1.06,104.5,
"0323,13:19",180,0.298,0.03,0.05,48.4,1,0.16,1.06,104.9,
"0323,13:19",190,0.263,0.02,0.05,37.2,1,0.15,1.06,104.8,
"0323,13:19",200,0.2617,0.02,0.05,39.3,1,0.16,0.43,104.2,
"0323,13:19",210,0.2278,0.03,0.05,51.6,1,0.16,0.73,104.5,
"0323,13:19",220,0.196,0.02,0.05,31.7,1,0.15,0.73,104.9,
"0323,13:19",230,0.2315,0.02,0.05,40.3,1,0.15,0.73,105.2,
"0323,13:19",240,0.2494,0.03,0.05,50.1,1,0.16,0.73,105.5,
"0323,13:19",250,0.1769,0.02,0.05,35.5,1,0.15,0.84,105.7,
"0323,13:19",260,0.1988,0.02,0.05,40.4,1,0.15,0.84,106.0,
"0323,13:19",270,0.2281,0.03,0.05,52.2,1,0.16,0.84,105.9,
"0323,13:19",280,0.2325,0.03,0.05,46.1,1,0.16,0.84,105.5,
"0323,13:19",290,0.2055,0.02,0.05,38.5,1,0.15,0.84,105.8,
"0323,13:19",300,0.1975,0.03,0.05,54.4,1,0.16,0.84,105.8,
"0323,13:19",310,0.1859,0.03,0.05,55.4,1,0.16,0.84,106.0,
"0323,13:19",320,0.2635,0.01,0.05,19.4,1,0.15,0.84,106.3,
"0323,13:19",330,0.2485,0.03,0.05,47.2,1,0.16,0.84,106.6,
"0323,13:19",340,0.2329,0.03,0.05,48.3,1,0.16,0.84,106.7,
"0323,13:19",350,0.1777,0.03,0.05,46.6,1,0.16,0.84,106.9,
"0323,13:19",360,0.1926,0.03,0.05,51.9,1,0.16,0.84,107.0,
"0323,13:19",370,0.2016,0.03,0.05,52.9,1,0.16,0.84,106.9,
"0323,13:19",380,0.2386,0.01,0.05,18.6,1,0.15,0.84,106.8,
"0323,13:19",390,0.275,0.01,0.05,11.1,1,0.15,0.84,106.6,
"0323,13:19",400,0.1768,0.02,0.05,32.0,1,0.15,0.84,106.4,
"0323,13:19",410,0.207,0.03,0.05,46.8,1,0.16,0.84,106.5,
"0323,13:19",420,0.2446,0.02,0.05,40.7,1,0.15,0.84,106.7,
"0323,13:19",430,0.1943,0.03,0.05,49.9,1,0.16,0.84,106.8,
"0323,13:19",440,0.2157,0.02,0.05,35.3,1,0.15,0.84,106.9,
"0323,13:19",450,0.2283,0.03,0.05,51.5,1,0.16,0.84,107.1,
"0323,13:19",460,0.2043,0.02,0.05,40.1,1,0.15,0.84,107.2,
"0323,13:19",470,0.1797,0.02,0.05,40.4,1,0.15,0.84,107.3,
"0323,13:19",480,0.2348,0.03,0.05,47.8,1,0.16,0.84,107.3,
"0323,13:19",490,0.225,0.02,0.05,36.6,1,0.15,0.84,107.4,
"0323,13:19",500,0.2691,0.01,0.05,19.4,1,0.15,0.84,107.3,
"0323,13:19",510,0.1643,0.02,0.05,35.5,1,0.15,0.84,107.3,
"0323,13:19",520,0.216,0.02,0.05,30.8,1,0.15,0.84,107.3,
"0323,13:19",530,0.1777,0.03,0.05,46.2,1,0.16,0.84,107.3,
"0323,13:19",540,0.1886,0.03,0.05,50.5,1,0.16,0.84,107.3,
"0323,13:19",550,0.1827,0.03,0.05,56.7,1,0.16,0.84,107.4,
"0323,13:19",560,0.1801,0.02,0.05,43.2,1,0.15,0.84,107.5,
